key;en;de
MONEY_DESCRIPTION;A piece of paper you can use to buy stuff in a store;Ein stück papaier mit dem man Dinge in einem Laden kaufen kann
MORTAR_AND_PESTLE;Morat and Pestle;Mörser und Stößel
MORTAR_AND_PESTLE_DESCRIPTION;A device consisting of a bowl (mortar) and a heavy rod (pestle) used for crushing and mixing substances;Ein Gerät, das aus einer Schale (Mörser) und einem schweren Stab (Stößel) besteht, und zum Zerkleinern und Mischen von Substanzen verwendet wird
PAN;Pan;Pfanne
PAN_DESCRIPTION;A flat cooking vessel with a long handle, used for frying or cooking;Ein flaches Kochgeschirr mit einem langen Griff, das zum Braten oder Kochen verwendet wird
PHONE;Phone;Telefon
PHONE_DESCRIPTION;A device used for transmitting sound over long distances using electrical signals;Ein Gerät, das zur Übertragung von Schall über große Entfernungen mithilfe elektrischer Signale verwendet wird
PICKAXE;Pickaxe;Spitzhacke
PICKAXE_DESCRIPTION;A tool with a long handle and a heavy head, used for digging and breaking hard materials like stone and soi;Ein Werkzeug mit einem langen Griff und einem schweren Kopf, das zum Graben und Zerkleinern harter Materialien wie Stein und Erde verwendet wird
POT;Pot;Topf
POT_DESCRIPTION;A cooking vessel with high sides and often a lid, used for boiling and simmering food;in Kochgefäß mit hohen Seiten und oft mit einem Deckel, das zum Kochen und Schmoren von Speisen verwendet wird
SAW;Saw;Säge
SAW_DESCRIPTION;A tool with a toothed blade used for cutting wood, metal, or other materials;Ein Werkzeug mit einer gezahnten Klinge, das zum Schneiden von Holz, Metall oder anderen Materialien verwendet wird
SHOVEL;Shovle;Schaufel
SHOVEL_DESCRIPTION;A tool with a broad, flat blade and a long handle, used for digging and moving loose material like soil, sand, or snow;Ein Werkzeug mit einem breiten, flachen Blatt und einem langen Griff, das zum Graben und Bewegen von losem Material wie Erde, Sand oder Schnee verwendet wird
SLEDGEHAMMER;Sledgehammer;Vorschlagshammer
SLEDGEHAMMER_DESCRIPTION;A heavy tool with a long handle and a massive head used for demolishing and breaking hard materials like concrete or stone;Ein schweres Werkzeug mit einem langen Griff und einem massiven Kopf, das zum Zerstören und Brechen von harten Materialien wie Beton oder Stein verwendet wird
TEA_POT;Tea Pot;Tee Kanne
TEA_POT_DESCRIPTION;A vessel with a spout and a handle, used for brewing and serving tea;Ein Gefäß mit einem Ausguss und einem Griff, das verwendet wird, um Tee aufzubrühen und zu servieren
THOOTHBRUSH;Thoothbrush;Zahnbürste
THOOTHBRUSH_DESCRIPTION;A tool with bristles on a handle used for cleaning teeth and gums;Ein Werkzeug mit Borsten auf einem Griff, das zur Reinigung der Zähne und des Zahnfleisches verwendet wird
DECK_VIEWER;Deck Viewer;Deckbetrachter
RELOAD_CUSTOM_DECKS;Reload custom decks;Eigene Decks neu laden
FILTER_DECKS;Filter decks by deck name;Decks anhand ihres Namens filtern
SHOW_ALL;Show All;Alle Anzeigen
SHOW_BUILT_IN;Show only built in;Nur eingebaute anzeigen
SHOW_CUSTOM;Only show custom;Nur eigene anzeigen
CLOSE;Close;Schließen
GITHUB_REPOSITORY_BUTTON;GitHub Repository containing game code;GitHub Repository mit dem Code des Spiels
GAME_PAGE;Game page;Spielseite
REPORT_BUG;Report bug;Fehler melden
HOW_TO_PLAY;How to play;Spielanleitung
FULL_SCREEN;Fullscreen;Vollbild
V_SYNC;VSync;VSync
LOAD_CUSTOM_DECKS;Load custom decks;Eigene decks laden
SETTINGS;Settings;Einstellungen
AUDIO;Audio;Audio
TEST_EFFECTS;Test effect volume;Effekt Lautstärke testen
MASTER_VOLUME;Master volume;Gesamtlautstärke
EFFECT_VOLUME;Effect volume;Effektlautstärke
MUSIC_VOLUME;Music volume;Musiklautstärke
APPLY;Apply;Annehmen
ENGLISH;English;Englisch
GERMAN;German;Deutsch
VERSION;Version: ;Version:
GAME_SETTINGS;Game Settings;Spieleinstellungen
CREDITS;Credits;Credits
QUICK_AI_GAME;Start Quick AI Game;Starte schnelles KI Spiel
EASY_AI;Easy;Einfach
NORMAL_AI;Normal;Normal
HARD_AI;Hard;Schwer
ADD_AI_PLAYER;Add AI Player;Ki Spieler hinzufügen
MOVE_PLAYER_UP;Move player up;Spieler nach oben schieben
MOVE_PLAYER_DOWN;Move player down;Spieler nach unten schieben
PLAYER_LIST_HELP;The order within this list indicates the order in which the players take their turn;Die Reihenfolge innerhalb dieser liste gibt an in welcher Reihenfolge die Spieler dran kommen
